date,house_purchase_cost_as_percent_of_income,cost,year
2000-12-31T00:00:00.000000,1.7516589013081203,128745.19246353417,2000
2002-12-31T00:00:00.000000,2.0810930560822887,149792.64675956895,2002
2003-12-31T00:00:00.000000,2.228291377589777,160416.49677670372,2003
2005-12-31T00:00:00.000000,2.6966066592062092,196920.34941825873,2005
2006-12-31T00:00:00.000000,2.77408571470282,205785.84509843908,2006
2009-12-31T00:00:00.000000,2.4369697733275437,173385.89976783376,2009
2016-12-31T00:00:00.000000,2.473834228537103,190068.5089836944,2016
2019-12-31T00:00:00.000000,2.5559556046573833,219164.82715792584,2019
2020-12-31T00:00:00.000000,2.8899891199315526,241354.50810255375,2020
2021-12-31T00:00:00.000000,3.349426588654241,279374.5861740701,2021
2023-12-31T00:00:00.000000,3.63490420574077,308417.8451295529,2023
2024-12-31T00:00:00.000000,3.685510428692049,319632.14474246197,2024
2001-12-31T00:00:00.000000,1.9114289071037875,140196.9290544329,2001
2004-12-31T00:00:00.000000,2.449416173469023,177963.83768666448,2004
2007-12-31T00:00:00.000000,2.692162447470817,202235.75296838826,2007
2008-12-31T00:00:00.000000,2.6130577329502307,189430.69207809775,2008
2010-12-31T00:00:00.000000,2.3835947548666296,168271.16773937657,2010
2011-12-31T00:00:00.000000,2.3472128144202653,162430.313770084,2011
2012-12-31T00:00:00.000000,2.3678794096957203,164108.74801298403,2012
2013-12-31T00:00:00.000000,2.4001744970349197,172222.3812443945,2013
2014-12-31T00:00:00.000000,2.476175227582865,178507.40146226351,2014
2015-12-31T00:00:00.000000,2.5245514783754777,187399.309739384,2015
2017-12-31T00:00:00.000000,2.5411711361944005,199223.63920431954,2017
2018-12-31T00:00:00.000000,2.60541514566118,209412.41179337734,2018
2022-12-31T00:00:00.000000,3.6815317537288577,301255.2370205719,2022
